1	BL	296
2	SH	267
3	FT	141
4	UG	139
5	KB	125
6	FB	122
7	HZ	117
8	GR	116
9	CH	116
10	LA	111
11	EM	105
12	LR	102
13	ZD	101
14	LU	99
15	BK	95
16	US	94
17	UM	94
18	LC	92
19	CZ	92
20	ZS	91
21	QU	88
22	MB	85
23	LF	84
24	ME	82
25	UQ	82
26	AC	82
27	VC	79
28	HP	77
29	DL	76
30	LK	73
31	HB	72
32	MP	71
33	LE	69
34	CL	68
35	WC	67
36	BU	66
37	AL	65
38	QB	65
39	PC	63
40	ZA	63
41	BF	63
42	LB	62
43	AB	62
44	CB	61
45	RU	61
46	KL	60
47	QC	56
48	ZH	56
49	RV	56
50	CU	56
51	HC	55
52	PW	54
53	HL	54
54	ML	53
55	ZF	52
56	DM	52
57	FQ	51
58	RB	50
59	BA	50
60	SA	50
61	MH	50
62	IV	49
63	BM	49
64	KT	49
65	BQ	49
66	LG	48
67	HD	48
68	WU	47
69	LH	47
70	DI	47
71	PU	47
72	DG	45
73	AH	45
74	LM	45
75	BB	45
76	HM	45
77	HA	44
78	MM	44
79	KZ	43
80	SC	42
81	GD	42
82	HS	42
83	PB	41
84	AZ	41
85	KH	40
86	AS	40
87	XD	40
88	WP	40
89	HU	40
90	DS	40
91	RL	40
92	OU	40
93	BP	39
94	HE	39
95	VB	39
96	AM	39
97	EH	39
98	KM	39
99	CQ	38
100	BW	38
101	TL	38
102	AK	38
103	BG	38
104	TH	37
105	RA	37
106	GI	37
107	MU	37
108	VD	36
109	HF	36
110	UL	35
111	CM	35
112	HO	35
113	CK	35
114	DE	35
115	CN	35
116	FZ	35
117	UZ	34
118	PZ	34
119	PO	33
120	HK	33
121	ZE	33
122	UB	33
123	UK	32
124	KA	32
125	AE	32
126	UP	32
127	MS	32
128	TK	32
129	VL	32
130	SK	32
131	ZC	31
132	LL	31
133	TR	31
134	GA	31
135	BS	31
136	TF	31
137	BC	30
138	GZ	30
139	CG	30
140	AF	30
141	GB	30
142	KS	30
143	TO	30
144	MD	30
145	CS	29
146	NK	29
147	GK	29
148	RI	29
149	PK	28
150	IL	28
151	UA	28
152	HV	28
153	KC	28
154	WQ	28
155	CF	27
156	KF	27
157	RG	27
158	ZK	27
159	KP	27
160	QX	26
161	IU	26
162	AU	25
163	GF	25
164	TI	25
165	DK	25
166	MQ	25
167	UF	25
168	EB	25
169	MA	25
170	PM	25
171	RH	25
172	GC	24
173	EA	24
174	HX	24
175	DB	24
176	CC	24
177	UW	24
178	EG	24
179	GU	24
180	DF	23
181	BZ	23
182	QP	23
183	GH	23
184	GV	23
185	RO	22
186	KG	22
187	CP	22
188	XY	22
189	YZ	22
190	IG	22
191	UH	22
192	IY	22
193	YH	22
194	ZM	22
195	EC	21
196	MZ	21
197	ZL	21
198	ED	21
199	MW	21
200	FV	21
201	FA	20
202	AN	20
203	FU	20
204	HH	20
205	WO	20
206	NU	20
207	KU	20
208	OP	20
209	LT	20
210	ID	19
211	FH	19
212	CT	19
213	VA	19
214	DW	19
215	CI	18
216	LV	18
217	DQ	18
218	QK	18
219	CD	18
220	HI	18
221	TD	18
222	EK	18
223	VH	18
224	BO	18
225	HG	18
226	PR	18
227	UV	17
228	QR	17
229	OW	17
230	CR	17
231	OF	17
232	EP	17
233	MK	17
234	GM	17
235	PH	17
236	QV	17
237	FL	17
238	HT	17
239	ZU	16
240	QZ	16
241	HQ	16
242	QS	16
243	RC	16
244	DH	16
245	ZQ	15
246	VF	15
247	ZG	15
248	XK	15
249	VU	15
250	OZ	15
251	AT	15
252	CV	15
253	EU	15
254	UD	15
255	ER	15
256	SB	15
257	SR	15
258	KO	15
259	UX	14
260	OB	14
261	AQ	14
262	LW	14
263	EL	14
264	EZ	14
265	DD	14
266	MI	14
267	ZZ	14
268	NA	14
269	TG	14
270	SD	14
271	DC	13
272	MO	13
273	RD	13
274	WV	13
275	OE	13
276	UE	13
277	ON	13
278	EI	13
279	PF	13
280	TN	13
281	DV	13
282	SG	13
283	XG	13
284	ZW	13
285	AR	12
286	OQ	12
287	KN	12
288	IB	12
289	PQ	12
290	UC	12
291	MC	12
292	BI	12
293	BT	12
294	UU	12
295	TE	12
296	FG	12
297	PS	12
298	HN	12
299	HR	12
300	NL	11
301	AI	11
302	WW	11
303	PA	11
304	ND	11
305	RK	11
306	NR	11
307	BE	11
308	UR	11
309	GT	11
310	FR	11
311	SP	11
312	PD	11
313	OD	11
314	IZ	11
315	DA	11
316	QF	10
317	OC	10
318	EQ	10
319	OS	10
320	QM	10
321	TA	10
322	CA	10
323	GQ	10
324	BD	10
325	TC	10
326	LN	10
327	RN	10
328	CX	10
329	TM	10
330	HW	10
331	AA	10
332	BR	10
333	WK	10
334	RM	10
335	VN	10
336	LI	9
337	IW	9
338	QD	9
339	GW	9
340	NS	9
341	DP	9
342	NV	9
343	GL	9
344	ZP	9
345	IP	9
346	OM	9
347	UT	9
348	SW	9
349	MF	9
350	NB	9
351	FI	9
352	AD	9
353	NZ	9
354	GE	9
355	RF	9
356	PE	9
357	MR	9
358	MG	9
359	BH	9
360	FC	9
361	WR	9
362	AO	9
363	IC	9
364	LP	8
365	AG	8
366	CE	8
367	KW	8
368	UN	8
369	NC	8
370	TB	8
371	FS	8
372	MV	8
373	OK	8
374	AP	8
375	OA	8
376	RR	8
377	QN	8
378	NX	8
379	TU	8
380	QQ	8
381	DZ	8
382	SZ	8
383	ZB	8
384	QW	8
385	ZX	8
386	VM	8
387	LX	7
388	BX	7
389	UI	7
390	MT	7
391	BV	7
392	QE	7
393	KK	7
394	SL	7
395	IA	7
396	RQ	7
397	VG	7
398	OH	7
399	NG	7
400	OR	7
401	CO	7
402	KR	7
403	IH	7
404	LZ	7
405	KQ	7
406	PL	6
407	KE	6
408	NP	6
409	XF	6
410	FM	6
411	ZO	6
412	KD	6
413	KI	6
414	VR	6
415	IO	6
416	GO	6
417	FN	6
418	LQ	6
419	GP	6
420	XP	6
421	SN	6
422	RZ	6
423	LD	6
424	GG	6
425	SU	6
426	LS	6
427	VE	6
428	GS	6
429	WF	6
430	WS	6
431	QO	6
432	XR	6
433	DU	5
434	NM	5
435	TQ	5
436	BN	5
437	IE	5
438	KV	5
439	FK	5
440	ET	5
441	CW	5
442	IN	5
443	NW	5
444	LO	5
445	VP	5
446	DX	5
447	MX	5
448	OL	5
449	WT	5
450	UY	5
451	PN	5
452	VK	5
453	EV	5
454	RS	5
455	QG	5
456	QT	5
457	IQ	5
458	GX	5
459	OT	5
460	EN	4
461	NQ	4
462	KX	4
463	VZ	4
464	VQ	4
465	ST	4
466	AV	4
467	WZ	4
468	PI	4
469	SF	4
470	RW	4
471	WM	4
472	DO	4
473	XU	4
474	EF	4
475	FF	4
476	IM	4
477	SO	4
478	IK	4
479	IF	4
480	NH	4
481	XL	4
482	NF	4
483	TW	4
484	QH	4
485	QA	4
486	QL	4
487	NT	4
488	WI	3
489	XS	3
490	FE	3
491	SV	3
492	XE	3
493	OG	3
494	WD	3
495	ZN	3
496	IT	3
497	WA	3
498	RY	3
499	RT	3
500	IS	3
501	XB	3
502	YL	3
503	SM	3
504	XQ	3
505	FD	3
506	AW	3
507	EX	3
508	VI	3
509	SS	3
510	ZR	3
511	KY	3
512	XC	3
513	CY	2
514	SE	2
515	DT	2
516	EO	2
517	RE	2
518	DN	2
519	YB	2
520	YR	2
521	UO	2
522	FW	2
523	YU	2
